                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4275,                 2.9666,                 1.8521,                0.00374,                0.10779,                0.00368,                0.00134,                 3.2578,                 3.7091,                 3.0025,                0.00032,                0.00032,                0.00032
                      2,                 1.5179,                 1.3005,                 1.1975,                0.01154,                0.21025,                0.07111,                0.03602,                 3.0992,                 3.5675,                  2.475,             0.00065406,             0.00065406,             0.00065406
                      3,                 1.2752,                0.98982,                 1.0626,                0.90391,                0.63287,                0.73555,                0.45985,                 1.4236,                 1.7616,                 1.2132,               0.000982,               0.000982,               0.000982
                      4,                 1.2081,                0.88235,                 1.0294,                0.84173,                0.83671,                0.90052,                0.58763,                 1.2224,                 1.0186,                 1.0339,              0.0013038,              0.0013038,              0.0013038
                      5,                 1.1819,                0.83914,                 1.0178,                0.82008,                0.85126,                0.89924,                0.59148,                 1.2041,                0.87188,                 1.0244,              0.0016195,              0.0016195,              0.0016195
                      6,                 1.1521,                0.80094,                 1.0075,                0.83935,                0.86339,                0.92311,                0.62332,                 1.1753,                0.73776,                 1.0253,                0.00191,                0.00191,                0.00191
                      7,                 1.1258,                0.74574,                0.99188,                0.84766,                0.89114,                0.94459,                0.64051,                 1.1378,                0.72162,                 1.0089,               0.001892,               0.001892,               0.001892
                      8,                 1.1156,                0.72757,                0.99163,                0.85589,                0.90822,                0.94499,                0.65501,                 1.0961,                 0.6684,                 1.0012,               0.001874,               0.001874,               0.001874
                      9,                 1.0984,                0.69075,                0.97848,                0.88269,                0.92636,                0.96255,                0.68367,                 1.0579,                0.62198,                0.98246,               0.001856,               0.001856,               0.001856
                     10,                 1.0942,                0.68504,                0.98296,                 0.8465,                0.88687,                0.93135,                0.66002,                 1.0613,                0.65898,                0.98419,               0.001838,               0.001838,               0.001838
                     11,                 1.0683,                0.65478,                0.97767,                0.90118,                0.92464,                0.95953,                0.69203,                 1.0335,                0.63964,                 0.9787,                0.00182,                0.00182,                0.00182
                     12,                 1.0894,                0.66643,                0.98608,                0.90865,                0.90502,                0.96165,                0.68561,                 1.0541,                0.60737,                0.98718,               0.001802,               0.001802,               0.001802
                     13,                 1.0758,                0.64793,                0.97285,                 0.8876,                0.89335,                0.94893,                0.68999,                 1.0126,                0.59689,                0.97106,               0.001784,               0.001784,               0.001784
                     14,                 1.0576,                0.62435,                0.97214,                0.89351,                0.90438,                0.95604,                 0.6928,                 1.0173,                0.59401,                0.96569,               0.001766,               0.001766,               0.001766
                     15,                 1.0599,                0.63157,                0.97489,                0.89129,                0.90996,                0.96253,                0.68771,                 1.0317,                0.59119,                0.97695,               0.001748,               0.001748,               0.001748
                     16,                 1.0386,                0.60732,                 0.9613,                0.89676,                0.91462,                0.95936,                 0.6924,                 1.0124,                0.59043,                0.96844,                0.00173,                0.00173,                0.00173
                     17,                 1.0344,                 0.5991,                0.95543,                 0.8852,                0.91996,                0.96061,                0.68617,                  1.035,                0.58611,                 0.9767,               0.001712,               0.001712,               0.001712
                     18,                 1.0217,                0.59113,                  0.958,                0.89202,                 0.9317,                0.95922,                0.70121,                 1.0041,                0.55787,                0.95829,               0.001694,               0.001694,               0.001694
                     19,                 1.0379,                 0.6169,                0.95797,                0.90229,                0.93383,                0.96919,                0.71133,                 1.0031,                0.54393,                0.96433,               0.001676,               0.001676,               0.001676
                     20,                 1.0367,                0.59455,                0.95803,                0.89974,                0.91943,                0.96604,                0.68316,                 1.0432,                0.58532,                0.98348,               0.001658,               0.001658,               0.001658
                     21,                 1.0217,                0.58506,                 0.9555,                 0.9095,                0.91169,                0.96626,                0.69664,                 1.0133,                0.56196,                0.97173,                0.00164,                0.00164,                0.00164
                     22,                 1.0121,                0.57716,                0.95996,                0.89364,                0.92362,                0.96842,                0.70693,                 1.0132,                0.56667,                0.96676,               0.001622,               0.001622,               0.001622
                     23,                0.99853,                0.55871,                 0.9511,                0.90398,                0.91142,                 0.9647,                0.70128,                 1.0201,                0.56127,                0.96664,               0.001604,               0.001604,               0.001604
                     24,                0.99717,                0.57563,                0.95048,                0.90308,                0.92423,                0.96258,                0.70914,                 1.0104,                0.55351,                 0.9681,               0.001586,               0.001586,               0.001586
                     25,                 1.0045,                0.56688,                0.95508,                0.90567,                0.92217,                0.96907,                0.71356,                0.97585,                0.58523,                0.96042,               0.001568,               0.001568,               0.001568
                     26,                 1.0161,                0.58106,                0.94969,                0.90429,                 0.9285,                0.97109,                0.70395,                  1.007,                0.62329,                0.96766,                0.00155,                0.00155,                0.00155
                     27,                0.98055,                0.55998,                0.95315,                 0.9274,                0.90822,                0.97382,                 0.7097,                 1.0319,                0.55649,                0.96742,               0.001532,               0.001532,               0.001532
                     28,                0.99746,                0.55497,                  0.953,                0.91172,                0.92582,                0.96973,                0.71481,                0.99752,                0.55376,                0.96029,               0.001514,               0.001514,               0.001514
                     29,                0.98623,                0.54754,                0.94435,                0.92786,                0.91964,                0.97283,                0.70689,                 1.0174,                0.53661,                0.97178,               0.001496,               0.001496,               0.001496
                     30,                0.98974,                 0.5466,                0.94597,                 0.9287,                 0.9174,                0.97193,                0.71119,                0.99949,                0.53675,                0.96276,               0.001478,               0.001478,               0.001478
                     31,                0.97778,                0.53893,                0.94413,                0.90262,                0.93063,                0.97178,                0.72045,                0.97465,                0.51883,                0.95468,                0.00146,                0.00146,                0.00146
                     32,                0.97844,                0.53843,                0.94285,                0.92182,                0.92209,                0.97184,                0.71406,                0.98851,                 0.5562,                0.95858,               0.001442,               0.001442,               0.001442
                     33,                0.97025,                0.53621,                 0.9408,                0.90863,                0.93396,                0.97503,                0.72283,                0.98697,                0.51795,                 0.9587,               0.001424,               0.001424,               0.001424
                     34,                0.96171,                0.52739,                0.93629,                0.89303,                0.93549,                0.96972,                0.71153,                  1.028,                0.51929,                0.96441,               0.001406,               0.001406,               0.001406
                     35,                 0.9747,                 0.5321,                0.93614,                0.92052,                0.92102,                0.97136,                0.71387,                 1.0193,                0.54185,                0.96305,               0.001388,               0.001388,               0.001388
                     36,                 0.9736,                0.52946,                0.94846,                0.91212,                0.91944,                0.96003,                0.71497,                0.99177,                0.51734,                0.96551,                0.00137,                0.00137,                0.00137
                     37,                 0.9542,                0.51788,                0.93814,                0.91954,                0.91476,                0.97244,                0.71045,                 1.0106,                0.52468,                0.96561,               0.001352,               0.001352,               0.001352
                     38,                0.96306,                0.52639,                0.93659,                0.91486,                0.93063,                0.97398,                0.72479,                0.98031,                0.50867,                0.95458,               0.001334,               0.001334,               0.001334
                     39,                0.96707,                0.52194,                0.93442,                0.91744,                0.93696,                0.97691,                0.71906,                0.98133,                0.52746,                0.95876,               0.001316,               0.001316,               0.001316
                     40,                0.95238,                0.51283,                0.93691,                0.89099,                0.94771,                0.97039,                0.72616,                0.96666,                0.50199,                0.95225,               0.001298,               0.001298,               0.001298
                     41,                0.95308,                0.51469,                0.93269,                0.90803,                0.93781,                0.97047,                 0.7227,                0.96995,                0.52023,                0.95377,                0.00128,                0.00128,                0.00128
                     42,                0.93039,                0.49721,                0.92852,                0.91264,                 0.9381,                0.96916,                0.71223,                0.98128,                0.54647,                0.95884,               0.001262,               0.001262,               0.001262
                     43,                0.94753,                0.50899,                0.93657,                0.91225,                0.93197,                0.96999,                0.72278,                 1.0036,                0.51281,                0.96133,               0.001244,               0.001244,               0.001244
                     44,                0.94184,                 0.5178,                0.93135,                0.91968,                0.93276,                0.97463,                0.72994,                0.97124,                 0.5038,                0.95688,               0.001226,               0.001226,               0.001226
                     45,                0.92532,                 0.5066,                0.92657,                0.91716,                 0.9285,                0.97068,                0.73339,                0.95934,                0.48949,                0.94694,               0.001208,               0.001208,               0.001208
